,id,label
257,5261003,215
258,5317762,159
259,5317958,159
260,5318737,159
261,5319726,159
262,5454217,94
263,5454218,16
264,5458326,153
265,5458380,153
266,5464883,16
267,5464884,91
268,5464885,91
269,5465511,16
270,5490982,249
271,5548352,94
272,5548353,94
273,5548355,94
274,5548356,94
275,5552546,14
276,5552548,14
277,5596994,144
278,5596998,144
279,5597005,144
280,5598932,144
281,5602136,144
282,5787359,162
283,5790588,262
284,5831176,308
285,5831178,308
286,5831179,308
287,5884904,308
288,5923323,234
289,5926169,260
290,5926843,234
291,5929592,260
292,5930237,260
293,5942883,133
294,5949366,53
295,5949374,53
296,5950004,144
297,5984714,191
298,5985469,280
299,5987419,149
300,6008166,118
301,6008841,308
302,6062970,262
303,6063073,262
304,6063082,262
305,6230642,308
306,6231349,55
307,6250433,106
308,6274696,103
309,6277964,106
310,6277982,106
311,6281556,141
312,6534148,126
313,6578341,139
314,6637460,212
315,6637482,133
316,7944907,300
317,7944966,300
318,7945054,300
319,7945412,300
320,7998481,160
321,8010152,256
322,8043665,111
323,8043684,202
324,8043712,188
325,8074910,14
326,8076186,191
327,8076194,191
328,8081646,144
329,8081655,260
330,8081876,144
331,8083129,14
332,8083210,14
333,8110221,78
334,8110226,78
335,8110227,78
336,8114721,291
337,8137262,127
338,8141222,15
339,8145621,175
340,8147095,213
341,8147386,160
342,8364034,191
343,8501796,260
344,8614496,219
345,8614502,149
346,8877349,13
347,9184699,64
348,9184779,64
349,9349605,14
350,9384065,14
351,9396950,248
352,9403153,248
353,9404298,248
354,9542750,111
355,9543625,75
356,9558987,149
357,9629736,111
358,9638948,99
359,9705557,270
360,9709927,213
361,9796993,15
362,9799522,251
363,9799621,251
364,9820623,241
365,10044857,240
366,10045363,240
367,10045810,202
368,10047837,99
369,10048308,99
370,10051435,237
371,10051790,237
372,10270680,216
373,10278829,217
374,10278833,217
375,10278841,249
376,10364277,78
377,10378225,111
378,10403540,243
379,10440056,241
380,10571148,70
381,10604113,194
382,10627679,144
383,10662957,144
384,10664769,260
385,10668751,268
386,10782218,21
387,10782605,175
388,10782657,175
389,10782688,175
390,10782741,175
391,10790633,260
392,10807015,159
393,10810446,161
394,10811445,284
395,10811927,284
396,10812573,284
397,10955552,94
398,11019215,12
399,11844138,143
400,11845613,143
401,11846131,143
402,11846383,114
403,11846533,114
404,12116455,213
405,12164834,196
406,12242503,196
407,12243302,298
408,12245485,298
409,12535826,12
410,12542822,99
411,12542850,99
412,12874003,293
413,13712151,301
414,13788594,66
415,13790629,161
416,13791362,161
417,13799212,98
418,13857391,143
419,13869343,32
420,13869347,32
421,13869756,32
422,13869841,32
423,13873566,253
424,13878265,154
425,14014520,109
426,14014801,109
427,14016335,109
428,14039211,260
429,14117991,242
430,14164486,98
431,14325882,53
432,14351765,122
433,14397528,281
434,14488303,144
435,14492080,144
436,14495071,144
437,14838860,260
438,15137156,196
439,15219325,188
440,15219624,188
441,15262028,251
442,15694166,292
443,16277711,157
444,16298997,116
445,16299011,116
446,16299012,116
447,16320738,122
448,16409717,62
449,16648893,125
450,16945455,122
451,17096815,44
452,17368819,53
453,17368967,53
454,17506890,122
455,17709642,187
456,17713529,187
457,17715963,187
458,17720986,249
459,17806374,137
460,17939182,64
461,17940814,282
462,17999028,139
463,18936361,100
464,19605455,53
465,19621775,289
466,19748095,127
467,19787035,8
468,19787039,8
469,19798157,94
470,19831976,94
471,20031076,213
472,20166475,189
473,20170633,189
474,20303136,189
475,20794099,224
476,20794161,224
477,20794340,224
478,20821133,175
479,20917317,126
480,20973312,126
481,21381871,66
482,21392280,186
483,21411575,146
484,21442271,220
485,21593232,180
486,21593236,98
487,21593237,98
488,21593238,98
489,21663357,189
490,21686579,186
491,21693791,186
492,21770258,269
493,21795866,126
494,22376956,141
495,22376960,141
496,22377020,267
497,22377035,141
498,22377040,141
499,22476446,277
500,22498760,270
501,22498784,270
502,22604626,170
503,22604638,170
504,22605726,55
505,22608405,55
506,22608506,55
507,22627972,256
508,22650727,23
509,22650728,23
510,22650729,23
511,22696907,64
512,22696953,2
513,22696968,2
514,22696975,64
515,22701133,308
516,22702620,176
517,22721236,43
518,22742509,157
519,22761664,188
520,22788491,276
521,22797846,132
522,22797847,132
523,22869701,171
524,22870087,26
525,22870100,26
526,22870140,25
527,22883979,144
528,22889910,47
529,22895152,170
530,22905783,18
531,22924096,127
532,22924108,127
533,22924137,127
534,22924145,119
535,22924163,119
536,22924166,127
537,22924167,127
538,22924178,127
539,22924222,281
540,22924262,281
541,22924326,281
542,22924359,119
543,22924378,119
544,22924383,127
545,22924385,127
546,22933415,219
547,22933451,219
548,22933985,94
549,22936252,277
550,22936253,277
551,22968167,277
552,22982459,179
553,22995828,199
554,22999866,213
555,23023212,270
556,23023338,12
557,23023376,12
558,23028424,257
559,23031361,0
560,23035934,139
561,23038814,160
562,23043561,160
563,23044971,18
564,23045192,160
565,23066825,302
566,23066992,302
567,23081461,302
568,23081462,302
569,23081724,204
570,23083339,1
571,23083470,1
572,23083528,1
573,23083567,1
574,23084123,289
575,23088177,308
576,23088180,308
577,23089370,44
578,23090003,157
579,23094901,289
580,23095184,289
581,23095299,289
582,23095576,289
583,23095678,289
584,23105395,184
585,23105406,184
586,23115218,249
587,23116647,116
588,23117181,64
589,23123610,64
590,23124013,1
591,23124922,258
592,23124924,258
593,23124949,99
594,23124978,225
595,23127265,220
596,23127282,220
597,23127925,220
598,23136819,302
599,23136822,302
600,23136832,136
601,23152749,176
602,23160466,136
603,23164245,292
604,23167442,75
605,23167463,75
606,23167561,44
607,23192428,252
608,23203685,215
609,23224770,293
610,23227146,252
611,23227241,252
612,23227909,268
613,23228220,252
614,23231897,92
615,23251672,40
616,23251940,40
617,23265126,269
618,23265377,187
619,23267721,64
620,23268752,64
621,23269115,199
622,23269120,199
623,23269123,199
624,23285524,10
625,23287665,106
626,23303621,118
627,23303622,118
628,23318411,188
629,23383337,277
630,23388084,277
631,23388092,277
632,23402542,270
633,23404397,277
634,23404432,277
635,23404433,277
636,23404434,277
637,23404598,277
638,23404599,277
639,23422438,44
640,23444176,42
641,23479811,156
642,23480727,215
643,23481209,88
644,23481210,215
645,23481212,88
646,23484584,277
647,23484585,277
648,23485711,277
649,23486327,149
650,23486372,149
651,23486376,149
652,23497107,17
653,23548541,8
654,23551096,8
655,23551108,8
656,23556216,152
657,23591864,127
658,23591871,127
659,23591886,129
660,23592028,119
661,23592191,129
662,23597181,127
663,23597182,127
664,23599300,38
665,23600634,124
666,23600744,124
667,23600789,124
668,23601782,127
669,23601883,127
670,23601993,174
671,23607589,41
672,23607764,41
673,23608061,174
674,23610237,174
675,23610334,129
676,23613986,98
677,23621838,274
678,23621840,274
679,23628360,17
680,23654549,188
681,23655329,17
682,23679962,270
683,23688098,2
684,23691888,308
685,23699299,2
686,23699311,2
687,23699363,2
688,23701033,1
689,23701035,1
690,23701037,1
691,23729284,1
692,23729289,1
693,23731859,249
694,23731861,249
695,23731870,249
696,23763092,64
697,23777663,116
698,23777667,116
699,23777668,116
700,23777914,116
701,23777918,116
702,23777919,116
703,23777920,2
704,23792410,2
705,23792411,2
