Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Brent__Wembley_Central,00AEHE,E05000104,16150.00,6963.00,6100.00,250000.00,31040.00,4.90
Brent__Willesden_Green,00AEHF,E05000105,15950.00,7834.00,3700.00,409500.00,31390.00,4.60
Bromley__Bickley,00AFGD,E05000106,15450.00,7004.00,4300.00,480000.00,47190.00,2.40
Bromley__Biggin_Hill,00AFGE,E05000107,10250.00,5104.00,2600.00,269950.00,40930.00,1.80
Bromley__Bromley_Common_and_Keston,00AFGF,E05000108,16250.00,6930.00,5600.00,350000.00,40510.00,2.30
Bromley__Bromley_Town,00AFGG,E05000109,18600.00,8832.00,23200.00,327000.00,43460.00,3.80
Bromley__Chelsfield_and_Pratts_Bottom,00AFGH,E05000110,14800.00,6957.00,3600.00,400000.00,44850.00,2.10
Bromley__Chislehurst,00AFGJ,E05000111,15400.00,6732.00,4800.00,395000.00,46250.00,2.10
Bromley__Clock_House,00AFGK,E05000112,16050.00,8308.00,3400.00,308750.00,41650.00,4.00
Bromley__Copers_Cope,00AFGL,E05000113,15950.00,8569.00,4900.00,315000.00,43170.00,3.30
Bromley__Cray_Valley_East,00AFGM,E05000114,15850.00,6623.00,7300.00,242000.00,32230.00,2.10
Bromley__Cray_Valley_West,00AFGN,E05000115,17150.00,6947.00,4600.00,250000.00,31740.00,2.30
Bromley__Crystal_Palace,00AFGP,E05000116,12950.00,6215.00,1900.00,250000.00,34060.00,4.60
Bromley__Darwin,00AFGQ,E05000117,5300.00,2293.00,1500.00,445000.00,42810.00,1.30
Bromley__Farnborough_and_Crofton,00AFGR,E05000118,14850.00,6412.00,6600.00,395000.00,44590.00,2.50
Bromley__Hayes_and_Coney_Hall,00AFGS,E05000119,16250.00,7529.00,3700.00,441250.00,45660.00,2.30
Bromley__Kelsey_and_Eden_Park,00AFGT,E05000120,16250.00,7470.00,4100.00,421599.00,44700.00,2.70
Bromley__Mottingham_and_Chislehurst_North,00AFGU,E05000121,10300.00,4313.00,1200.00,250000.00,32330.00,2.50
Bromley__Orpington,00AFGW,E05000122,15650.00,6648.00,6100.00,340000.00,38090.00,2.90
Bromley__Penge_and_Cator,00AFGX,E05000123,17900.00,8475.00,5000.00,320000.00,36090.00,4.20
Bromley__Petts_Wood_and_Knoll,00AFGY,E05000124,13950.00,6258.00,2700.00,485000.00,48530.00,2.80
Bromley__Plaistow_and_Sundridge,00AFGZ,E05000125,15600.00,7283.00,3800.00,295444.00,39460.00,2.90
Bromley__Shortlands,00AFHA,E05000126,10150.00,4629.00,1100.00,468000.00,48020.00,2.70
Bromley__West_Wickham,00AFHB,E05000127,15250.00,6917.00,3100.00,475000.00,46210.00,2.20
Camden__Belsize,00AGGD,E05000128,12800.00,6670.00,3200.00,850000.00,52680.00,4.20
Camden__Bloomsbury,00AGGE,E05000129,11700.00,4639.00,70900.00,560000.00,40340.00,8.00
Camden__Camden_Town_with_Primrose_Hill,00AGGF,E05000130,13100.00,6413.00,16100.00,813500.00,45840.00,5.40
Camden__Cantelowes,00AGGG,E05000131,12450.00,5731.00,2800.00,560000.00,39060.00,4.90
Camden__Fortune_Green,00AGGH,E05000132,12100.00,6598.00,2300.00,575000.00,46800.00,4.80
Camden__Frognal_and_Fitzjohns,00AGGJ,E05000133,12250.00,5692.00,5600.00,955000.00,60310.00,4.80
Camden__Gospel_Oak,00AGGK,E05000134,11500.00,5031.00,2800.00,599999.00,39990.00,4.10
Camden__Hampstead_Town,00AGGL,E05000135,11400.00,5750.00,11300.00,1190000.00,62840.00,4.00
Camden__Haverstock,00AGGM,E05000136,12750.00,5401.00,2700.00,547305.00,35730.00,4.70
Camden__Highgate,00AGGN,E05000137,11150.00,5163.00,2500.00,650000.00,47840.00,3.90
Camden__Holborn_and_Covent_Garden,00AGGP,E05000138,13700.00,6266.00,114000.00,685000.00,40180.00,7.90
Camden__Kentish_Town,00AGGQ,E05000139,13850.00,7131.00,11600.00,630100.00,41230.00,5.70
Camden__Kilburn,00AGGR,E05000140,12350.00,5745.00,3900.00,468000.00,34730.00,5.50
Camden__King's_Cross,00AGGS,E05000141,12550.00,4277.00,18200.00,625000.00,32890.00,7.80
Camden__Regent's_Park,00AGGT,E05000142,14700.00,5474.00,33800.00,600000.00,34260.00,6.80
Camden__St._Pancras_and_Somers_Town,00AGGU,E05000143,16200.00,5173.00,17000.00,465000.00,30500.00,7.10
Camden__Swiss_Cottage,00AGGW,E05000144,13200.00,6710.00,4400.00,740500.00,50340.00,6.20
Camden__West_Hampstead,00AGGX,E05000145,12550.00,7259.00,4500.00,622500.00,46290.00,6.00
