,id,type,first node,amenity,lat,lon
7429,117393029,way,1322386135,parking,,
7430,117393031,way,1321625025,university,,
7431,117409055,way,1322717078,pub,,
7432,117416338,way,1658110451,gambling,,
7433,117424906,way,2501493260,place_of_worship,,
7434,117465311,way,1323358967,parking,,
7435,117557254,way,1324118304,school,,
7436,117562250,way,1324161290,school,,
7437,117572559,way,1324265139,parking,,
7438,117572623,way,1324265653,parking,,
7439,117607358,way,1324584147,pub,,
7440,117623605,way,670640330,restaurant,,
7441,117623609,way,1324710155,restaurant,,
7442,117623620,way,4731045397,parking,,
7443,117655028,way,1325004113,place_of_worship,,
7444,117687312,way,1325333983,parking,,
7445,117814254,way,1326348598,bank,,
7446,117821569,way,1326432492,parking,,
7447,117861599,way,1326745214,parking,,
7448,117861610,way,1326745294,pub,,
7449,117893977,way,1327029837,sorting_office,,
7450,117894256,way,1327032652,post_office,,
7451,118173829,way,1329616565,clinic,,
7452,118260873,way,1330369659,fuel,,
7453,118312538,way,4730390432,college,,
7454,118371096,way,1331264930,pub,,
7455,118371101,way,1331265269,doctors,,
7456,118371110,way,1331265017,shop,,
7457,118371122,way,1331431151,pub,,
7458,118371126,way,1331265197,shop,,
7459,118371152,way,1331264911,dentist,,
7460,118387478,way,1331439081,pub,,
7461,118398992,way,1331739177,place_of_worship,,
7462,118400961,way,1331817814,school,,
7463,118520866,way,1332818096,arts_centre,,
7464,118635271,way,1333892273,parking,,
7465,118635469,way,1333894169,parking,,
7466,118647078,way,1333981387,library,,
7467,118648398,way,1333990551,parking,,
7468,118650972,way,1334014952,library,,
7469,118691967,way,1334358153,parking,,
7470,118705186,way,1334476731,place_of_worship,,
7471,118711024,way,1334537234,cafe,,
7472,118720812,way,1334630892,arts_centre,,
7473,118720825,way,1334631148,pub,,
7474,118760009,way,1334998012,social_club,,
7475,118805807,way,1335519337,parking,,
7476,118805820,way,1335518852,parking,,
7477,118805914,way,1335519412,dentist,,
7478,118805915,way,1335519052,parking,,
7479,118806492,way,1335531561,restaurant,,
7480,118806511,way,3527305208,fast_food,,
7481,118806519,way,3527305208,pub,,
7482,118808966,way,3531897254,restaurant,,
7483,118808968,way,3527027728,fast_food,,
7484,118808972,way,3531928778,restaurant,,
7485,118808974,way,3531928781,restaurant,,
7486,118808979,way,3531928773,cafe,,
7487,118808984,way,1335571660,cafe,,
7488,118808988,way,3527305404,community_centre,,
7489,118828470,way,1335823271,place_of_worship,,
7490,118838732,way,1335906474,parking,,
7491,118906072,way,1336630085,restaurant,,
7492,118968996,way,1337362253,townhall,,
7493,118970559,way,1337394987,library,,
7494,119003816,way,1337786057,place_of_worship,,
7495,119086652,way,1338842053,school,,
7496,119086653,way,1338842111,school,,
7497,119086654,way,1338841974,public_building,,
7498,119097388,way,1338997361,social_facility,,
7499,119106052,way,1339104769,parking,,
7500,119106438,way,1363941239,parking,,
7501,119156299,way,1339603681,social_facility,,
7502,119396033,way,1341710572,convenience_store,,
7503,119397108,way,1341721873,pub,,
7504,119397909,way,1341728457,pharmacy,,
7505,119438238,way,1342099862,fast_food,,
7506,119438246,way,1342099844,fast_food,,
7507,119438247,way,1342099680,restaurant,,
7508,119438254,way,1342099808,restaurant,,
7509,119438255,way,1342099820,cafe,,
7510,119438256,way,1342099654,cafe,,
7511,119438262,way,1342099907,toilets,,
7512,119438268,way,1342099776,bar,,
7513,119438275,way,292050852,pub,,
7514,119438277,way,1342099652,fast_food,,
7515,119438285,way,1342099797,bar,,
7516,119438294,way,1342099665,restaurant,,
7517,119438296,way,1342099666,taxi,,
7518,119438310,way,1342099811,fast_food,,
7519,119438313,way,1342099913,restaurant,,
7520,119438314,way,1342099873,restaurant,,
7521,119439274,way,1342109249,school,,
7522,119439310,way,1342109268,pub,,
7523,119439312,way,1342108950,restaurant,,
7524,119439314,way,1342109116,fast_food,,
7525,119439331,way,1342108993,restaurant,,
7526,119476480,way,1342404780,pub,,
7527,119476490,way,1342404740,pub,,
7528,119477409,way,1342413288,school,,
7529,119487931,way,1342453124,fast_food,,
7530,119487943,way,1342453120,pub,,
7531,119613386,way,1343327858,parking,,
7532,119613458,way,1343327850,parking,,
7533,119613463,way,1343327863,public_building,,
7534,119660864,way,1343657776,parking,,
7535,119707615,way,292050852,restaurant,,
7536,119724879,way,1344207926,parking,,
7537,119724882,way,1350455946,parking,,
7538,119726235,way,1344241546,parking,,
7539,119755381,way,1344438990,parking,,
7540,119760362,way,1344546197,parking,,
7541,119762854,way,1344588617,parking,,
7542,119775700,way,1344810518,cafe,,
7543,119775706,way,1344810471,pharmacy,,
7544,119775710,way,1344810446,fast_food,,
7545,119857078,way,1345281573,place_of_worship,,
