,id,lat,lon,amenity
187,4822314,51.3798373,-0.1854335,hospital
188,4823689,51.4697654,-0.3556251,parking
189,4827597,51.369613,-0.1474327,parking
190,4828981,51.4740116,-0.3673782,parking
191,4830162,51.4517971,-0.3122179,parking
192,4830291,51.3702485,-0.1507586,school
193,4842302,51.4751712,-0.3667148,parking
194,4842313,51.4752889,-0.3690065,townhall
195,4842335,51.4782718,-0.3676246,school
196,4842365,51.4776985,-0.3680216,public_building
197,4842400,51.4679094,-0.3645253,parking
198,4842401,51.4672277,-0.3642,public_building
199,4842463,51.4686061,-0.3677763,parking
200,4842474,51.470371,-0.3630528,parking
201,4844651,51.4716593,-0.3578784,school
202,4845269,51.6822732,0.1358918,parking
203,4859425,51.3675893,-0.1581659,parking
204,4865011,51.4687796,-0.0686816,parking
205,4865563,51.4659544,-0.0732136,community_centre
206,4872151,51.4620622,-0.3624271,parking
207,4896040,51.3648084,-0.1584219,school
208,4899481,51.4252318,-0.0486238,parking
209,4905356,51.5893445,0.2362684,parking
210,4905494,51.5814149,0.2527108,parking
211,4906760,51.4373844,0.2712496,parking
212,4906767,51.4395968,0.2753281,parking
213,4906769,51.4415324,0.2706093,parking
214,4906770,51.4410195,0.2655097,parking
215,4906771,51.4395487,0.2659973,parking
216,4906773,51.4381879,0.2651062,parking
217,4907488,51.5875736,0.231863,school
218,4907493,51.467642,-0.2564819,hospital
219,4907651,51.5985365,0.2421112,school
220,4926687,51.5490424,-0.3306047,parking
221,4926701,51.5489813,-0.3377467,school
222,4941131,51.5152731,-0.3368275,school
223,4941199,51.5372899,-0.346388,school
224,4941299,51.4454957,-0.3178025,parking
225,4942606,51.6011756,0.2076501,school
226,4942983,51.6132598,0.2140445,school
227,4942997,51.5865817,0.2371759,school
228,4943100,51.5836838,0.1916256,parking
229,4943854,51.4619208,-0.3627355,place_of_worship
230,4944009,51.4648356,-0.3732369,school
231,4946671,51.4434043,-0.0893288,restaurant
232,4949333,51.592329,0.2181924,parking
233,4949563,51.5699786,0.2427294,school
234,4949574,51.5932119,0.2337554,parking
235,4951401,51.5342859,-0.3192921,parking
236,4953311,51.4750201,-0.3260861,parking
237,4953314,51.4738261,-0.3258833,parking
238,4953316,51.4732862,-0.3218369,parking
239,4953330,51.4686055,-0.3469733,school
240,4953331,51.4692232,-0.354342,school
241,4953332,51.4707456,-0.3549409,bus_garage
242,4958932,51.4620106,-0.373798,school
243,4959880,51.496872,-0.1788886,cafe
244,4960762,51.4202015,-0.0727304,parking
245,4961226,51.333993,-0.2597866,parking
246,4961871,51.5085781,-0.3360971,parking
247,4962595,51.5513301,0.0450823,place_of_worship
248,4968462,51.4412846,-0.0903446,parking
249,4968491,51.4433408,-0.088861,parking
250,4969125,51.5352591,-0.1068532,exhibition_venue
251,4969133,51.5383241,-0.1020104,place_of_worship
252,4970631,51.4867338,0.0343999,parking
253,4971806,51.4678329,-0.371473,health_centre
254,4971810,51.4684439,-0.3734721,school
255,4976046,51.457524,-0.1142501,parking
256,4977969,51.3325894,-0.2628479,parking
257,4977975,51.3332934,-0.2645934,parking
258,4978116,51.3400386,-0.2574688,parking
259,4978335,51.3427035,-0.2567421,school
260,4978381,51.3340659,-0.2468212,school
261,4981289,51.3289517,-0.2490777,school
262,4981364,51.3113487,-0.2460401,parking
263,4981365,51.311676,-0.2446627,parking
264,4983779,51.6606022,-0.1378515,university
265,4983849,51.6441321,-0.1490591,university
266,4985326,51.5762363,-0.0959865,parking
267,4986435,51.4672408,-0.3793694,school
268,4986436,51.4671701,-0.3826425,school
269,4986442,51.4583916,-0.3768865,school
