,id,type,first node,amenity
10943,164812335,way,3638019359.0,school
10944,164845186,way,1770308238.0,bar
10945,164845188,way,1764427025.0,bar
10946,164845189,way,1764427012.0,bar
10947,164845194,way,1765959513.0,bar
10948,164851771,way,1764466839.0,fast_food
10949,164851792,way,1764466899.0,fast_food
10950,164862181,way,1764572134.0,restaurant
10951,164862283,way,1764573154.0,parking
10952,164929878,way,1765229294.0,parking
10953,164942560,way,1765339313.0,school
10954,165015160,way,1765959393.0,restaurant
10955,165015162,way,1765959459.0,cafe
10956,165018306,way,1765988348.0,bar
10957,165167461,way,1758886765.0,college
10958,165182413,way,1767452261.0,parking
10959,165182414,way,2251189974.0,parking
10960,165213150,way,1767733234.0,parking
10961,165215842,way,1767752701.0,parking
10962,165274605,way,1768302033.0,parking
10963,165277670,way,1768342706.0,pharmacy
10964,165277714,way,1768342708.0,parking
10965,165280320,way,1768372610.0,school
10966,165299728,way,1768596373.0,school
10967,165299731,way,1768596375.0,school
10968,165302354,way,1768610580.0,parking
10969,165302355,way,1768610649.0,parking
10970,165309075,way,1768665555.0,parking
10971,165321687,way,1768757492.0,parking
10972,165331945,way,1768836219.0,parking
10973,165333716,way,1768853226.0,parking
10974,165333718,way,1768853256.0,parking
10975,165333719,way,1768853263.0,parking
10976,165335228,way,1768868797.0,parking
10977,165336598,way,1768881861.0,parking
10978,165336785,way,835714215.0,school
10979,165336787,way,1768886460.0,parking
10980,165339318,way,1768907637.0,parking
10981,165339334,way,1768907432.0,fuel
10982,165339372,way,1768907727.0,parking
10983,165346662,way,1768974433.0,parking
10984,165346664,way,1768974417.0,parking
10985,165441704,way,1769847851.0,arts_centre
10986,165488538,way,1770285397.0,bar
10987,165488540,way,1758891582.0,bar
10988,165491339,way,1765976881.0,restaurant
10989,165491340,way,1770308194.0,fast_food
10990,165491342,way,1770308199.0,restaurant
10991,165491345,way,1770308227.0,fast_food
10992,165491346,way,1770308187.0,taxi
10993,165503250,way,1770431896.0,fast_food
10994,165503253,way,1770431890.0,cafe
10995,165503255,way,1770431951.0,fast_food
10996,165503262,way,1770431929.0,cafe
10997,165524685,way,1770650249.0,fast_food
10998,165524693,way,1770650162.0,cafe
10999,165524695,way,1770650230.0,pharmacy
11000,165542344,way,1770805808.0,school
11001,165542361,way,1770805759.0,school
11002,165542364,way,1770805668.0,school
11003,165542367,way,1770805767.0,parking
11004,165542368,way,1770805660.0,school
11005,165543181,way,1770811067.0,school
11006,165543189,way,1770810997.0,parking
11007,165589488,way,1771373272.0,pub
11008,165642004,way,1771840922.0,swimming_pool
11009,165642008,way,1771840932.0,parking
11010,165728208,way,1772672744.0,parking
11011,165740925,way,1772754176.0,school
11012,165740926,way,1772754241.0,school
11013,165740928,way,1772754234.0,school
11014,165740931,way,1772754217.0,school
11015,165740932,way,1772754149.0,school
11016,165740933,way,1772754304.0,school
11017,165740934,way,1772754224.0,school
11018,165742456,way,1772766421.0,parking
11019,165742457,way,1772766431.0,parking
11020,165742458,way,1772766441.0,school
11021,165742459,way,1772766354.0,school
11022,165742461,way,1772766442.0,parking
11023,165742464,way,1772766430.0,school
11024,165742466,way,1772766399.0,parking
11025,165742467,way,1772766291.0,school
11026,165775773,way,1773063409.0,parking
11027,165775786,way,1773063022.0,toilets
11028,165892476,way,1774014075.0,parking
11029,165897353,way,1774062030.0,parking
11030,165897366,way,1774062102.0,parking
11031,165897367,way,1774062084.0,parking
11032,165902149,way,4265660958.0,public_building
11033,165903742,way,1774130513.0,parking
11034,165903745,way,1774130511.0,public_building
11035,165939365,way,1774448511.0,parking
11036,166053885,way,1775376091.0,parking
11037,166053889,way,1775376238.0,parking
11038,166053937,way,1775376082.0,parking
11039,166053942,way,1775376287.0,parking
