,Clusters,Polygon
20,20,"[(-0.0975069, 51.358650899999994), (-0.1021767, 51.359913399999996), (-0.1199718, 51.362145299999995), (-0.131967, 51.3669961), (-0.13219160000000002, 51.367510700000004), (-0.1310029, 51.36781), (-0.1287841, 51.3678805), (-0.1244077, 51.3679888), (-0.11188150000000001, 51.374740700000004), (-0.11034160000000001, 51.3830398), (-0.1130976, 51.3896903), (-0.11482060000000001, 51.39276470000001), (-0.1164067, 51.396794), (-0.1169326, 51.398377), (-0.11443519999999999, 51.399376000000004), (-0.10105039999999998, 51.3995982), (-0.0884242, 51.400005799999995), (-0.07484400000000001, 51.4008815), (-0.0599748, 51.397138700000006), (-0.0573414, 51.3964619), (-0.0606726, 51.393377799999996), (-0.06204119999999999, 51.3929402), (-0.07842619999999999, 51.3803188), (-0.082321, 51.369574799999995), (-0.092335, 51.3639144), (-0.0975069, 51.358650899999994)]"
21,21,"[(0.0347032, 51.3862014), (0.022964099999999998, 51.3860844), (0.0213916, 51.3866618), (0.0146315, 51.390562200000005), (0.0057365, 51.4017651), (-0.0076569, 51.4065193), (-0.0136379, 51.404433399999995), (-0.018140700000000003, 51.406613), (-0.017454, 51.4068754), (-0.006456, 51.408415000000005), (-0.0021024999999999998, 51.4077356), (0.0069277, 51.4095818), (0.013978, 51.4157185), (0.020151, 51.4210424), (0.0214438, 51.42193220000001), (0.023208700000000002, 51.4215601), (0.0341371, 51.4104448), (0.043669599999999996, 51.4008336), (0.0497615, 51.4021041), (0.040417699999999994, 51.3947533), (0.0347032, 51.3862014)]"
22,22,"[(-0.3366294, 51.54750670000001), (-0.3457883, 51.548342600000005), (-0.3532177, 51.550304100000005), (-0.3446335, 51.5621396), (-0.3357117, 51.564281099999995), (-0.32846729999999996, 51.566677399999996), (-0.3239715, 51.5621539), (-0.31069450000000004, 51.569345500000004), (-0.30325630000000003, 51.5781287), (-0.2931158, 51.5862191), (-0.28927379999999997, 51.591093799999996), (-0.27602709999999997, 51.586112299999996), (-0.2815741, 51.5795167), (-0.2772106, 51.564835200000005), (-0.2735741, 51.5663318), (-0.2663548, 51.5676615), (-0.2617772, 51.568068700000005), (-0.2566405, 51.5690561), (-0.2586039, 51.56380120000001), (-0.263268, 51.55983870000001), (-0.277281, 51.548208), (-0.2869306, 51.54872), (-0.3000692, 51.547987), (-0.30755479999999996, 51.5483203), (-0.3150926, 51.545182000000004), (-0.3224014, 51.546338299999995), (-0.3366294, 51.54750670000001)]"
23,23,"[(-0.19730820000000002, 51.3438528), (-0.2007285, 51.3438211), (-0.2028277, 51.344151399999994), (-0.2001994, 51.3612725), (-0.20019720000000002, 51.3679959), (-0.2001321, 51.368390600000005), (-0.1940333, 51.378656299999996), (-0.19357370000000002, 51.3794269), (-0.18398779999999998, 51.3770539), (-0.1875555, 51.3593077), (-0.18850229999999998, 51.3550209), (-0.19097999999999998, 51.3441232), (-0.19730820000000002, 51.3438528)]"
24,24,"[(-0.1599804, 51.3614862), (-0.1613027, 51.3616519), (-0.1702021, 51.3649388), (-0.17732910000000002, 51.375243100000006), (-0.188121, 51.3802027), (-0.1923526, 51.3834261), (-0.192026, 51.384395399999995), (-0.1885354, 51.3886256), (-0.1820025, 51.39225510000001), (-0.17105889999999999, 51.3899605), (-0.15857870000000002, 51.389156799999995), (-0.1539749, 51.3829084), (-0.153584, 51.3815934), (-0.15369860000000002, 51.3802028), (-0.15677560000000001, 51.3635059), (-0.1599804, 51.3614862)]"
25,25,"[(-0.4346357, 51.446915399999995), (-0.44056660000000003, 51.4435995), (-0.4468237, 51.4465838), (-0.4479351, 51.4491731), (-0.43818999999999997, 51.45437379999999), (-0.4303464, 51.4619032), (-0.42857470000000003, 51.4670785), (-0.41646530000000004, 51.4698532), (-0.4095236, 51.457419200000004), (-0.4017815, 51.4528746), (-0.40015409999999996, 51.452278799999995), (-0.396523, 51.449445700000005), (-0.3918311, 51.4456117), (-0.3882083, 51.440855299999996), (-0.38189229999999996, 51.430098799999996), (-0.388418, 51.4269969), (-0.3953177, 51.4261614), (-0.41330959999999994, 51.4322253), (-0.41863, 51.432284700000004), (-0.4280145, 51.4470044), (-0.4346357, 51.446915399999995)]"
26,26,"[(0.0916909, 51.5293473), (0.08352000000000001, 51.5273701), (0.0734933, 51.5305916), (0.0681517, 51.5322364), (0.0670446, 51.540495799999995), (0.0724843, 51.540966), (0.0801692, 51.5500184), (0.0911717, 51.5502611), (0.0938942, 51.5465895), (0.09450069999999999, 51.5434376), (0.0916909, 51.5293473)]"
27,27,"[(-0.1491056, 51.5863012), (-0.1620782, 51.585202), (-0.1772395, 51.5894825), (-0.1883431, 51.59002879999999), (-0.19245620000000002, 51.5909367), (-0.20475770000000001, 51.5947178), (-0.2008317, 51.5991136), (-0.193123, 51.6045599), (-0.1914421, 51.6130843), (-0.19441029999999998, 51.61960070000001), (-0.19382, 51.6237257), (-0.20657910000000002, 51.644928), (-0.21003840000000001, 51.6524761), (-0.2047385, 51.6588376), (-0.1989938, 51.6609579), (-0.19263339999999998, 51.6629197), (-0.1864838, 51.664576399999994), (-0.1879796, 51.6580472), (-0.18399179999999998, 51.6472232), (-0.17140060000000001, 51.6439011), (-0.1623123, 51.644088700000005), (-0.15799770000000002, 51.6447735), (-0.1542292, 51.643855200000004), (-0.14642529999999998, 51.636614), (-0.1421595, 51.6314527), (-0.1309247, 51.6190071), (-0.12351140000000001, 51.614731799999994), (-0.12110080000000001, 51.6130682), (-0.1267113, 51.5941929), (-0.1296888, 51.591091299999995), (-0.1395749, 51.5881579), (-0.1491056, 51.5863012)]"
28,28,"[(-0.2084866, 51.4030583), (-0.2156756, 51.4017033), (-0.22598189999999999, 51.416257), (-0.23287539999999998, 51.4229279), (-0.23244009999999998, 51.425943700000005), (-0.23176929999999998, 51.4263811), (-0.21055749999999998, 51.42843920000001), (-0.2066453, 51.42864960000001), (-0.20011900000000002, 51.427341299999995), (-0.1891293, 51.4233648), (-0.18488629999999998, 51.426641100000005), (-0.1844926, 51.426586), (-0.17564749999999998, 51.4205934), (-0.17210129999999998, 51.4177185), (-0.1793722, 51.4076951), (-0.1942938, 51.4054788), (-0.2084866, 51.4030583)]"
29,29,"[(-0.3340788, 51.433213099999996), (-0.33852859999999996, 51.4323403), (-0.3519817, 51.42872020000001), (-0.35471729999999996, 51.4227677), (-0.3588905, 51.4227035), (-0.3637249, 51.4232758), (-0.3708147, 51.4253443), (-0.3667828, 51.4258878), (-0.36007540000000005, 51.4274885), (-0.3529644, 51.4422308), (-0.3506037, 51.4494414), (-0.3499782, 51.4505495), (-0.3418204, 51.4582244), (-0.3306079, 51.4612203), (-0.3272486, 51.4620517), (-0.322783, 51.4605376), (-0.32004920000000003, 51.456110100000004), (-0.3186533, 51.4535542), (-0.3157235, 51.447047999999995), (-0.31462890000000004, 51.4436276), (-0.31738130000000003, 51.4417106), (-0.3340788, 51.433213099999996)]"
30,30,"[(-0.2749298, 51.460291399999996), (-0.2762127, 51.4609614), (-0.2780322, 51.4641093), (-0.27709040000000007, 51.4661081), (-0.2680397, 51.471195), (-0.255846, 51.470982), (-0.2528085, 51.4706027), (-0.24747399999999997, 51.468111), (-0.2427087, 51.4653251), (-0.2500331, 51.458946399999995), (-0.2544692, 51.4601752), (-0.269259, 51.4606848), (-0.2749298, 51.460291399999996)]"
31,31,"[(0.0610096, 51.5105839), (0.05410419999999999, 51.509848), (0.054296699999999996, 51.515789700000006), (0.0444006, 51.531161600000004), (0.0413272, 51.5342768), (0.039358199999999996, 51.548084700000004), (0.048171, 51.5552419), (0.0601381, 51.55457379999999), (0.0624727, 51.5524978), (0.0658865, 51.5356878), (0.07155349999999999, 51.5235866), (0.0722102, 51.522048), (0.07213489999999999, 51.5217205), (0.0717563, 51.5208177), (0.0711375, 51.51977539999999), (0.0610096, 51.5105839)]"
32,32,"[(-0.3131235, 51.4494277), (-0.313273, 51.449484999999996), (-0.31371279999999996, 51.4526309), (-0.307658, 51.469026899999996), (-0.298323, 51.465808200000005), (-0.29148720000000006, 51.463055700000005), (-0.2888335, 51.4607527), (-0.2881901, 51.4589673), (-0.2901672, 51.45531210000001), (-0.2962413, 51.4502258), (-0.2975085, 51.45013839999999), (-0.3131235, 51.4494277)]"
33,33,"[(-0.0594859, 51.4342061), (-0.0608554, 51.43512020000001), (-0.06352719999999999, 51.440439899999994), (-0.062479099999999996, 51.44163270000001), (-0.0596357, 51.4438841), (-0.055409400000000004, 51.4469391), (-0.04581369999999999, 51.437208700000006), (-0.0294909, 51.4353225), (-0.0288298, 51.4346011), (-0.0262991, 51.4263195), (-0.030773000000000002, 51.424416), (-0.0341739, 51.4234402), (-0.041628399999999996, 51.4261935), (-0.0509209, 51.429805200000004), (-0.0594859, 51.4342061)]"
34,34,"[(-0.3312657, 51.4826975), (-0.3406969, 51.478777799999996), (-0.3476518, 51.482823700000004), (-0.34816990000000003, 51.4831622), (-0.33541540000000003, 51.48765039999999), (-0.33008119999999996, 51.4882732), (-0.3184987, 51.4919784), (-0.30855959999999993, 51.4913462), (-0.2959768, 51.493709499999994), (-0.2878973, 51.4890982), (-0.28776940000000006, 51.4883945), (-0.2878415, 51.4881322), (-0.31118779999999996, 51.4768901), (-0.31623140000000005, 51.4748479), (-0.32522290000000004, 51.4825495), (-0.3312657, 51.4826975)]"
35,35,"[(-0.2585917, 51.4837475), (-0.270758, 51.484202), (-0.27832290000000004, 51.4846032), (-0.2830003, 51.4869374), (-0.2837063, 51.487375799999995), (-0.28548320000000005, 51.4906436), (-0.28476440000000003, 51.4920219), (-0.28296220000000005, 51.495445399999994), (-0.282765, 51.4957578), (-0.2762469, 51.495652299999996), (-0.2656832, 51.5029403), (-0.25242570000000003, 51.495934000000005), (-0.2508727, 51.492744), (-0.2546909, 51.4848386), (-0.2585917, 51.4837475)]"
36,36,"[(0.0246859, 51.5738283), (0.0179484, 51.574339200000004), (0.0164697, 51.580236799999994), (0.0161667, 51.5814568), (0.0147583, 51.594774), (0.013353299999999999, 51.6003351), (0.0169728, 51.603205700000004), (0.025508700000000002, 51.599177399999995), (0.025905200000000003, 51.598937299999996), (0.0349612, 51.59341), (0.0339032, 51.5906126), (0.028218599999999996, 51.5759872), (0.027451299999999998, 51.5744935), (0.0246859, 51.5738283)]"
37,37,"[(-0.21478490000000003, 51.5742634), (-0.21541100000000002, 51.573902399999994), (-0.22347039999999999, 51.571843), (-0.22480300000000003, 51.5715902), (-0.2322259, 51.572048200000005), (-0.23351149999999998, 51.5722988), (-0.2373053, 51.5739178), (-0.2515729, 51.5791785), (-0.2578098, 51.5820585), (-0.270129, 51.586527000000004), (-0.2760849, 51.5896252), (-0.279408, 51.6104438), (-0.28069099999999997, 51.612134600000005), (-0.27542209999999995, 51.6148741), (-0.2702901, 51.6122345), (-0.2609308, 51.6085575), (-0.25041599999999997, 51.6132943), (-0.24770799999999998, 51.615974), (-0.2406259, 51.6062018), (-0.23005830000000002, 51.598459999999996), (-0.217021, 51.591045799999996), (-0.20968879999999998, 51.5871385), (-0.21478490000000003, 51.5742634)]"
38,38,"[(-0.2328813, 51.5391614), (-0.2339545, 51.539961299999995), (-0.23796979999999998, 51.543608899999995), (-0.2367437, 51.5443534), (-0.22836289999999998, 51.5512485), (-0.22769450000000002, 51.563625), (-0.231462, 51.5696549), (-0.2301131, 51.5697872), (-0.22842889999999996, 51.5695342), (-0.2058652, 51.5682119), (-0.2002098, 51.5683), (-0.1994638, 51.567396200000005), (-0.1972369, 51.5635956), (-0.1970432, 51.5627336), (-0.2079206, 51.5512286), (-0.2189896, 51.546003999999996), (-0.2255047, 51.5412242), (-0.2328813, 51.5391614)]"
