,id,lat,lon,amenity,type
7,385707542,51.5144243,-0.1008266,hairdresser,Services
31,622583637,51.5163433,-0.082476,hairdresser,Services
57,796935761,51.512928,-0.0842071,hairdresser,Services
59,855065293,51.5154813,-0.0764892,hairdresser,Services
80,1717011315,51.5184465,-0.1050319,hairdresser,Services
85,1723388903,51.5198811,-0.0968795,hairdresser,Services
92,1816959332,51.5161742,-0.1015665,hairdresser,Services
157,3027177910,51.5168819,-0.080056,hairdresser,Services
162,3145196705,51.515121,-0.0825382,hairdresser,Services
163,3147137126,51.5120557,-0.0823447,hairdresser,Services
173,3217438911,51.514287,-0.109628,hairdresser,Services
180,3239698461,51.512685,-0.0928793,hairdresser,Services
189,3320744025,51.517868,-0.0882319,hairdresser,Services
190,3320744027,51.5157192,-0.0900969,hairdresser,Services
193,3322101486,51.5099034,-0.0863558,hairdresser,Services
199,3329890271,51.5171975,-0.0821012,hairdresser,Services
203,3334175013,51.5164134,-0.0831549,hairdresser,Services
230,3605041070,51.5171614,-0.082334,hairdresser,Services
243,3636960121,51.5184253,-0.0791548,hairdresser,Services
248,3656092749,51.5226403,-0.0975703,hairdresser,Services
250,3656092753,51.5226862,-0.0976043,hairdresser,Services
253,3665546925,51.516295,-0.0777139,hairdresser,Services
262,3735864420,51.5175983,-0.0801204,hairdresser,Services
276,3751798527,51.5140213,-0.0748823,hairdresser,Services
282,3794345289,51.5169372,-0.0802824,hairdresser,Services
307,4453344988,51.5145695,-0.0847068,hairdresser,Services
331,4601684016,51.5131532,-0.0933264,hairdresser,Services
337,4681223855,51.5144484,-0.1047735,hairdresser,Services
350,4781014848,51.5157398,-0.0789346,hairdresser,Services
247,3656092748,51.5220158,-0.0971973,hardware,Shopping
17,471488496,51.5118322,-0.081432,jewellery,Shopping
41,692162540,51.5125856,-0.0830699,jewellery,Shopping
107,2545451251,51.5184739,-0.0838962,jewellery,Shopping
131,2642857085,51.5138877,-0.0867503,jewellery,Shopping
133,2642857090,51.5134473,-0.086893,jewellery,Shopping
149,2967342479,51.5118334,-0.0835837,jewellery,Shopping
169,3197325384,51.5171991,-0.0814686,jewellery,Shopping
183,3272823594,51.5114254,-0.0827015,jewellery,Shopping
198,3329890270,51.5171745,-0.082018,jewellery,Shopping
231,3605041074,51.5171556,-0.0820829,jewellery,Shopping
279,3794329185,51.5176577,-0.0810378,jewellery,Shopping
309,4501836276,51.5171246,-0.0889281,jewellery,Shopping
328,4584963340,51.5129337,-0.0857676,jewellery,Shopping
343,4691514033,51.5138431,-0.1101874,jewellery,Shopping
8,390073172,51.5211627,-0.097114,laundry,Shopping
233,3605043288,51.5171633,-0.0824134,laundry,Shopping
147,2965872998,51.5166386,-0.0835831,locksmith,Shopping
209,3339384937,51.5119069,-0.0835462,locksmith,Shopping
237,3631245690,51.5178871,-0.0809419,locksmith,Shopping
112,2642857008,51.5138059,-0.0871787,luxury,Shopping
115,2642857023,51.5138003,-0.0866683,luxury,Shopping
116,2642857027,51.5135614,-0.0865875,luxury,Shopping
118,2642857046,51.5138731,-0.0868918,luxury,Shopping
119,2642857048,51.5137334,-0.0866402,luxury,Shopping
122,2642857055,51.5134176,-0.0873511,luxury,Shopping
123,2642857058,51.5138829,-0.0868085,luxury,Shopping
125,2642857064,51.5134839,-0.0865589,luxury,Shopping
129,2642857077,51.5137258,-0.087569,luxury,Shopping
132,2642857087,51.5137618,-0.0874028,luxury,Shopping
134,2642857092,51.513693,-0.0877228,luxury,Shopping
135,2642857189,51.5134034,-0.0876494,luxury,Shopping
136,2642857190,51.513407,-0.087545,luxury,Shopping
200,3333896730,51.5120154,-0.0833906,luxury,Shopping
213,3340683299,51.5136926,-0.0877451,luxury,Shopping
62,902513135,51.5194229,-0.0845149,market,Shopping
19,475396911,51.5172007,-0.0889348,mobile_phone,Services
45,692162569,51.5131209,-0.083483,mobile_phone,Services
63,918460604,51.517728,-0.0889252,mobile_phone,Services
110,2642580702,51.5167979,-0.0832301,mobile_phone,Services
151,2967342483,51.5116994,-0.0832516,mobile_phone,Services
192,3322101478,51.5174789,-0.0802365,mobile_phone,Services
202,3333896791,51.5115704,-0.0840538,mobile_phone,Services
211,3340674785,51.5139749,-0.0943736,mobile_phone,Services
212,3340677381,51.5139539,-0.0942522,mobile_phone,Services
220,3362467163,51.5124816,-0.0845282,mobile_phone,Services
298,4391979716,51.5171338,-0.0829388,mobile_phone,Services
44,692162566,51.5130683,-0.0832589,music,Shopping
283,3904058536,51.520572,-0.0927306,musical_instrument,Shopping
6,377508719,51.5170101,-0.080646,optician,Health
61,865143729,51.510751,-0.084576,optician,Health
90,1779881385,51.5133036,-0.0843512,optician,Health
206,3334179233,51.5156779,-0.0906534,optician,Health
240,3636959723,51.519346,-0.079595,optician,Health
249,3656092751,51.5223813,-0.0973986,optician,Health
325,4566889578,51.5125105,-0.0840483,optician,Health
336,4628672426,51.5117768,-0.0808422,optician,Health
24,488443291,51.514242,-0.0996863,outdoor,Shopping
121,2642857053,51.5137735,-0.0873231,perfume,Shopping
171,3197327374,51.5172114,-0.0821615,shoe_repair,Services
95,1832665980,51.5181409,-0.1126398,shoes,Shopping
113,2642857013,51.5138542,-0.0869785,shoes,Shopping
170,3197325385,51.5171776,-0.0813721,shoes,Shopping
256,3702964038,51.5169875,-0.0834546,shoes,Shopping
291,4317146692,51.513803,-0.091859,shoes,Shopping
292,4317146693,51.513777,-0.091656,shoes,Shopping
301,4402602533,51.5119454,-0.0826828,shoes,Shopping
308,4490144909,51.5137663,-0.0915169,shoes,Shopping
88,1763582369,51.5105699,-0.0926527,sports,Shopping
94,1832665977,51.51788,-0.1104763,sports,Shopping
146,2952718659,51.5131385,-0.0795382,sports,Shopping
155,3014255927,51.5134744,-0.0933744,sports,Shopping
175,3232149861,51.5096788,-0.0861988,sports,Shopping
221,3375577904,51.5105386,-0.0864853,sports,Shopping
139,2642895029,51.5168546,-0.0877548,stationery,Shopping
154,3012160555,51.5168188,-0.0798728,stationery,Shopping
156,3018116496,51.5152219,-0.0828074,stationery,Shopping
165,3152615905,51.5155501,-0.0763941,stationery,Shopping
168,3159183115,51.5184337,-0.079352,stationery,Shopping
201,3333896790,51.5116238,-0.0844856,stationery,Shopping
207,3334180110,51.5168394,-0.0871757,stationery,Shopping
295,4350664889,51.5187368,-0.0858205,stationery,Shopping
320,4566427235,51.5128406,-0.0835849,stationery,Shopping
25,560717334,51.5135459,-0.0915278,supermarket,Shopping
60,865142077,51.5105618,-0.0849363,supermarket,Shopping
235,3613604700,51.5147804,-0.099189,supermarket,Shopping
252,3660611628,51.5197662,-0.0966801,supermarket,Shopping
258,3713528468,51.511152,-0.0841773,supermarket,Shopping
319,4548309989,51.5133443,-0.0756348,supermarket,Shopping
333,4617766390,51.5100646,-0.0868337,supermarket,Shopping
142,2793904912,51.5132724,-0.0857053,tailor,Services
310,4501839131,51.517174,-0.08892,tailor,Services
329,4599266077,51.5119618,-0.0892005,tailor,Services
332,4603155359,51.5133044,-0.0930355,tailor,Services
344,4691514038,51.5137842,-0.1104864,tailor,Services
