,id,lat,lon,amenity,classification,tags
7005,219644098,51.5424491,-0.3241397,playground,,{u'leisure': u'playground'}
7006,219645833,51.5401337,-0.3295301,nature_reserve,,"{u'name': u'Perivale Wood Local Nature Reserve', u'leisure': u'nature_reserve'}"
7007,219678896,51.5400646,-0.3521979,pitch,,"{u'name': u'London Marathon Playing Fields', u'leisure': u'pitch'}"
7008,219895592,51.4673388,-0.0348403,garden,,{u'leisure': u'garden'}
7009,219895593,51.4687912,-0.0345284,garden,,{u'leisure': u'garden'}
7010,219895594,51.4676781,-0.0347841,garden,,{u'leisure': u'garden'}
7011,219895595,51.4684932,-0.0346395,garden,,{u'leisure': u'garden'}
7012,219895596,51.4679826,-0.0347647,garden,,{u'leisure': u'garden'}
7013,219895598,51.4685461,-0.0346146,garden,,{u'leisure': u'garden'}
7014,219895599,51.4673906,-0.0348242,garden,,{u'leisure': u'garden'}
7015,219895600,51.4675359,-0.0348022,garden,,{u'leisure': u'garden'}
7016,219895601,51.4680379,-0.0347482,garden,,{u'leisure': u'garden'}
7017,219895602,51.4684063,-0.0346719,garden,,{u'leisure': u'garden'}
7018,219895603,51.4681835,-0.0347167,garden,,{u'leisure': u'garden'}
7019,219895604,51.4677202,-0.0347806,garden,,{u'leisure': u'garden'}
7020,219895605,51.4675874,-0.0347945,garden,,{u'leisure': u'garden'}
7021,219895606,51.4684561,-0.0346503,garden,,{u'leisure': u'garden'}
7022,219895607,51.4682383,-0.0347,garden,,{u'leisure': u'garden'}
7023,219895608,51.4677662,-0.0347739,garden,,{u'leisure': u'garden'}
7024,219895609,51.4682825,-0.0346929,garden,,{u'leisure': u'garden'}
7025,219895610,51.4687048,-0.0345606,garden,,{u'leisure': u'garden'}
7026,219895611,51.468841,-0.0345073,garden,,{u'leisure': u'garden'}
7027,219895612,51.4685856,-0.0346046,garden,,{u'leisure': u'garden'}
7028,219895613,51.4674351,-0.0348134,garden,,{u'leisure': u'garden'}
7029,219895614,51.468755,-0.0345396,garden,,{u'leisure': u'garden'}
7030,219895615,51.4680847,-0.0347401,garden,,{u'leisure': u'garden'}
7031,219895616,51.4686377,-0.0345813,garden,,{u'leisure': u'garden'}
7032,219895617,51.4674839,-0.0348062,garden,,{u'leisure': u'garden'}
7033,219895618,51.4676317,-0.0347908,garden,,{u'leisure': u'garden'}
7034,219895619,51.4681383,-0.0347249,garden,,{u'leisure': u'garden'}
7035,219895620,51.4683523,-0.0347377,garden,,{u'leisure': u'garden'}
7036,219912672,51.4672361,-0.0348591,garden,,{u'leisure': u'garden'}
7037,219912673,51.4672866,-0.0348519,garden,,{u'leisure': u'garden'}
