,id,center,lat,lon,amenity,classification,tags
3087,198354766,"{u'lat': 51.3731305, u'lon': -0.101753}",51.3731305,-0.101753,pet,,"{u'addr:housenumber': u'26-27', u'building': u'retail', u'name': u'Dabners Premier Pet Shop', u'shop': u'pet', u'addr:street': u'Surrey Street'}"
3088,198354768,"{u'lat': 51.3731868, u'lon': -0.1017841}",51.3731868,-0.1017841,butcher,,"{u'addr:housenumber': u'28', u'shop': u'butcher', u'building': u'retail', u'addr:postcode': u'CR0 1RG', u'source:postcode': u'FSA Food Hygiene Ratings database', u'addr:street': u'Surrey Street', u'name': u'Eman Halal Meat'}"
3089,198354772,"{u'lat': 51.3732706, u'lon': -0.1024975}",51.3732706,-0.1024975,convenience,,"{u'addr:housenumber': u'39', u'building': u'retail', u'name': u'Food Wise', u'shop': u'convenience', u'addr:street': u'Church Street'}"
3090,198354773,"{u'lat': 51.3731794, u'lon': -0.1026707}",51.3731794,-0.1026707,toys,,"{u'addr:housenumber': u'43', u'building': u'retail', u'name': u'Forbidden Planet', u'shop': u'toys', u'addr:street': u'Church Street'}"
3091,198354774,"{u'lat': 51.3733812, u'lon': -0.102026}",51.3733812,-0.102026,seafood,,"{u'addr:housenumber': u'25', u'shop': u'seafood', u'building': u'retail', u'addr:postcode': u'CR0 1RH', u'source:postcode': u'FSA Food Hygiene Ratings database', u'addr:street': u'Church Street', u'name': u'Fresh Fish of Croydon & Surrey'}"
3092,198354775,"{u'lat': 51.3739778, u'lon': -0.1045859}",51.3739778,-0.1045859,books,,"{u'addr:housenumber': u'96', u'building': u'retail', u'name': u'A Place In Space', u'shop': u'books', u'source': u'survey', u'books': u'comic', u'addr:street': u'Church Street'}"
3093,198354776,"{u'lat': 51.3731791, u'lon': -0.102865}",51.3731791,-0.102865,sports,,"{u'addr:housenumber': u'45-51', u'building': u'retail', u'name': u'Hewitts of Croydon', u'shop': u'sports', u'addr:street': u'Church Street'}"
3094,198354777,"{u'lat': 51.3738673, u'lon': -0.1039221}",51.3738673,-0.1039221,interior_decoration,,"{u'addr:housenumber': u'76-80', u'building': u'retail', u'name': u'Homestyle', u'shop': u'interior_decoration', u'source': u'survey', u'addr:street': u'Church Street'}"
3095,198354779,"{u'lat': 51.3733001, u'lon': -0.1023426}",51.3733001,-0.1023426,hairdresser,,"{u'addr:housenumber': u'35', u'building': u'retail', u'name': u'Hair Star', u'shop': u'hairdresser', u'source': u'survey', u'addr:street': u'Church Street'}"
3096,198354781,"{u'lat': 51.3734352, u'lon': -0.1040317}",51.3734352,-0.1040317,appliance,,"{u'addr:housenumber': u'81', u'building': u'retail', u'name': u'UK Monster Deals', u'shop': u'appliance', u'source': u'survey', u'addr:street': u'Church Street'}"
