id,lat,lon,amenity,type
675734371,51.5117445,-0.0774102,cafe,Food and Drinks
685996805,51.519021,-0.0874706,bank,Services
687648578,51.5116672,-0.0751904,restaurant,Food and Drinks
688688992,51.509757,-0.078376,restaurant,Food and Drinks
689097130,51.5084656,-0.0792217,cafe,Food and Drinks
690275859,51.5121948,-0.0753621,restaurant,Food and Drinks
691387452,51.509738,-0.079427,cafe,Food and Drinks
692162483,51.5121301,-0.0851628,fast_food,Food and Drinks
692162500,51.5127258,-0.0852031,restaurant,Food and Drinks
692162524,51.5124628,-0.0832116,restaurant,Food and Drinks
692162534,51.5126585,-0.0833025,restaurant,Food and Drinks
692162535,51.5127691,-0.0834132,pub,Food and Drinks
692162550,51.5127356,-0.0833287,restaurant,Food and Drinks
692162587,51.5135099,-0.0832315,bar,Food and Drinks
692162590,51.5135384,-0.0828514,bar,Food and Drinks
694158855,51.5118514,-0.0762537,bar,Food and Drinks
694159622,51.5117014,-0.0757505,restaurant,Food and Drinks
694469672,51.5116888,-0.0759764,doctors,Health
694471966,51.5116636,-0.0767166,bar,Food and Drinks
694473687,51.511228,-0.077017,cafe,Food and Drinks
694474726,51.510773,-0.076834,bar,Food and Drinks
694475188,51.510634,-0.077099,restaurant,Food and Drinks
694509826,51.509724,-0.079885,cafe,Food and Drinks
694510208,51.5088796,-0.0789428,restaurant,Food and Drinks
694510269,51.5089063,-0.0790823,restaurant,Food and Drinks
694824545,51.5085291,-0.079136,cafe,Food and Drinks
694824549,51.5086158,-0.0790608,cafe,Food and Drinks
696913693,51.51122,-0.0776408,restaurant,Food and Drinks
696927640,51.51072,-0.080403,restaurant,Food and Drinks
696931374,51.510033,-0.079363,pub,Food and Drinks
701292868,51.513351,-0.073876,doctors,Health
702735037,51.511096,-0.087252,bank,Services
702768598,51.511348,-0.088611,cafe,Food and Drinks
702769377,51.511328,-0.088512,fast_food,Food and Drinks
702773347,51.511572,-0.089838,pub,Food and Drinks
702796635,51.512573,-0.090096,cafe,Food and Drinks
702806732,51.5098068,-0.0867617,cafe,Food and Drinks
707299370,51.511051,-0.07561,cafe,Food and Drinks
707301027,51.510873,-0.075507,cafe,Food and Drinks
707377198,51.5121056,-0.0791858,restaurant,Food and Drinks
708866091,51.5125635,-0.0836537,restaurant,Food and Drinks
708866092,51.5152475,-0.0799419,cafe,Food and Drinks
710474270,51.512194,-0.0839214,restaurant,Food and Drinks
710527432,51.5106631,-0.0763715,cafe,Food and Drinks
710656926,51.5187168,-0.1009564,parking,Transportation
734468159,51.5082177,-0.0803107,bar,Food and Drinks
739967562,51.5094976,-0.0842112,pub,Food and Drinks
748067171,51.513147,-0.0992559,restaurant,Food and Drinks
748067842,51.5131661,-0.0994135,restaurant,Food and Drinks
748068625,51.5132501,-0.0997741,restaurant,Food and Drinks
748069031,51.513199,-0.0995733,cafe,Food and Drinks
748073737,51.5137785,-0.1016151,cafe,Food and Drinks
748074039,51.5137364,-0.1018968,bank,Services
748076792,51.5138644,-0.1010988,restaurant,Food and Drinks
748091223,51.5138854,-0.1023801,fast_food,Food and Drinks
748093715,51.5141813,-0.1023124,cafe,Food and Drinks
751837707,51.5128943,-0.1094514,pub,Food and Drinks
758770187,51.5147056,-0.1092953,restaurant,Food and Drinks
761831040,51.5130063,-0.1081227,parking,Transportation
796482320,51.5137032,-0.0858011,pub,Food and Drinks
796777946,51.5104975,-0.0793674,restaurant,Food and Drinks
796926923,51.5128984,-0.0840488,restaurant,Food and Drinks
796931869,51.5126831,-0.0827842,bar,Food and Drinks
803653271,51.5162648,-0.0904216,university,Education
815080921,51.5173179,-0.112509,doctors,Health
826142862,51.5178026,-0.0963747,bicycle_rental,Services
826482370,51.512412,-0.075709,restaurant,Food and Drinks
