id,lat,lon,amenity
245435426,51.5758993,-0.1510412,convenience
245779356,51.4643751,-0.1313701,bicycle
246114126,51.457803,-0.1352774,convenience
246115679,51.4538667,-0.1458518,convenience
246116024,51.4530045,-0.1465366,supermarket
247328351,51.5826894,-0.1282156,convenience
247956793,51.5061703,-0.0878194,bicycle
247957484,51.5059578,-0.088796,bicycle
248042435,51.3534368,-0.1345426,convenience
248228823,51.3572903,-0.1485725,bicycle
248443157,51.5290021,-0.083709,convenience
248443159,51.5272456,-0.0834652,convenience
248443161,51.5309514,-0.0860938,convenience
248444186,51.5256052,-0.0905348,supermarket
248539050,51.3801764,-0.290566,laundry
248549872,51.495753,-0.0391581,dry_cleaning
248549891,51.4957263,-0.0393555,convenience
248553723,51.4968089,-0.0350531,convenience
249315771,51.5051095,-0.0580509,butcher
249315789,51.5053009,-0.0578361,bakery
249786780,51.511174,-0.3143348,car_repair
249793692,51.5111736,-0.3182415,supermarket
249799340,51.5051901,-0.3194677,beverages
251734567,51.503531,-0.3270669,chemist
252705277,51.4031557,0.1620939,newsagent;alchohol
252706229,51.4348626,0.1024459,bicycle
252707575,51.4389166,0.2027844,car_parts
253252073,51.3607428,-0.4165886,garden_centre
253365249,51.3857814,-0.4255186,car
253469667,51.3685831,-0.3953502,car
254383447,51.532999,-0.0802221,supermarket
254662685,51.3854292,-0.2112759,supermarket
255006104,51.5787715,-0.1240159,chemist
255010161,51.5823127,-0.1197821,supermarket
255012043,51.579183,-0.1239889,supermarket
255012050,51.577306,-0.1246843,supermarket
255469710,51.5147808,-0.1960304,convenience
255684387,51.515019,-0.1942631,doityourself
256141211,51.6064972,-0.3392065,doityourself
256341251,51.5570161,-0.3961247,supermarket
257163583,51.6501603,-0.4349787,plumbing
257163685,51.6523117,-0.4327385,convenience
257464734,51.4933611,-0.2416116,supermarket
257477408,51.4997187,-0.2386849,car_repair
258015861,51.527726,-0.1023445,books
258016396,51.3549666,-0.1623279,convenience
258016400,51.354887,-0.1626418,greengrocer
258016401,51.3548543,-0.162796,florist
258016404,51.3548175,-0.1629542,hairdresser
258016405,51.3548049,-0.16302,convenience
258016408,51.3546143,-0.1627,hardware
258016410,51.3546402,-0.1625578,hairdresser
258016411,51.3546616,-0.1624955,convenience
258016412,51.3546733,-0.1624156,cake
258016413,51.3546926,-0.1623164,hairdresser
258016415,51.3529776,-0.1621431,convenience
258016827,51.4455332,0.260096,convenience
258081096,51.441932,0.2498219,convenience
258366201,51.4350204,0.2453833,supermarket
260090718,51.5192584,-0.0781356,bicycle
261066823,51.5278798,-0.0508016,supermarket
261631697,51.2927139,0.3027764,carpet
262303039,51.3767089,-0.2387436,convenience
262311192,51.5392518,-0.0274064,garden_centre
262311193,51.538042,-0.0290844,convenience
