id,lat,lon,amenity
2218392957,51.4932288,-0.1541241,post_box
2218438027,51.4922075,-0.1498272,parking
2218438054,51.4923736,-0.1481799,post_box
2219698022,51.4782557,-0.1211215,post_box
2222404091,51.4097769,-0.3047149,parking
2222404095,51.4099308,-0.3035803,parking
2225525289,51.582721,-0.0282193,clothes
2225525292,51.5826816,-0.0284032,bed
2225525296,51.582651,-0.0285152,fast_food
2225525302,51.5827716,-0.0280098,fabric
2225525308,51.5827361,-0.0281567,toys
2225533352,51.5801538,-0.0329447,restaurant
2225533353,51.5801426,-0.0324959,pharmacy
2225578811,51.519279,-0.123842,training
2226507258,51.5240972,-0.0872283,restaurant
2226750520,51.4124519,-0.3004309,supermarket
2231359755,51.3987185,-0.0430602,motorcycle
2231468882,51.4986566,-0.1798591,post_box
2231802119,51.4024903,0.0173323,variety_store
2232211429,51.497937,-0.135441,bicycle_parking
2232224417,51.5543927,-0.1380591,kindergarten
2232248198,51.497923,-0.135183,bicycle_rental
2232537852,51.5259025,-0.3140002,library
2234846466,51.6513321,0.118243,restaurant
2235233853,51.4585675,-0.3016215,bicycle_parking
2235613037,51.3629837,-0.0968291,coffee
2235613042,51.3629186,-0.0967752,restaurant
2235613047,51.363201,-0.0970292,bookmaker
2235613048,51.3640626,-0.0989725,beauty
2235613058,51.363053,-0.0968913,convenience
2235613059,51.3643725,-0.0989679,car_parts
2235613060,51.3631601,-0.0969905,dry_cleaner
2235899130,51.462261,-0.29485,bicycle_parking
2236856684,51.365596,-0.2523077,post_box
2238048267,51.4393879,0.2699932,clothes
2238048277,51.4394174,0.2703382,optician
2238048281,51.439583,0.2705679,bag
2238048287,51.4391535,0.2697171,clothes
2238048294,51.4393102,0.2700713,jewelry
2238048299,51.4396041,0.2706088,travel_agency
2238048302,51.4392271,0.2698429,clothes
2238048307,51.4395127,0.2703188,clothes
2238048314,51.4394913,0.2706237,clothes
2238048319,51.4393643,0.2701765,shoes
2238048323,51.4395511,0.2704803,shoes
2238048325,51.4392783,0.2699731,clothes
2238048338,51.4394396,0.2701354,clothes
2238113479,51.4791352,-0.1704756,supermarket
2239862965,51.5044952,-0.2193657,coffee
2239862972,51.5045483,-0.2195803,coffee
2241795894,51.5397459,-0.3755266,bicycle_parking
2241872718,51.5156424,-0.2050182,restaurant
2241877432,51.5157399,-0.2046956,coffee
2242461819,51.6188259,0.0747049,curtain
2242461820,51.6188058,0.074688,hairdresser
2242929314,51.4895804,-0.1637052,bakery
2242962692,51.4980782,-0.1445767,coffee
2243281769,51.6077645,-0.4250796,post_box
2244606348,51.488368,-0.1060397,bicycle_parking
2244672880,51.4293735,-0.3229785,pub
2244672881,51.4292547,-0.3224447,pub
2244758361,51.5327746,-0.03212,swimming_pool
2244766189,51.5177126,-0.2010972,restaurant
